t_sec,type,name
1.297300,key_down,w
1.790459,key_up,w
1.959576,key_down,w
2.447639,key_up,w
2.836489,mouse_down,mouse_left
2.942285,mouse_up,mouse_left
3.237572,key_down,w
3.660975,key_down,shift
3.981090,key_up,shift
4.025991,key_up,w
4.336506,key_down,f
4.353305,key_down,g
4.454600,key_up,g
4.466670,key_up,f
4.514455,key_down,h
4.594633,key_up,h
4.718643,key_down,d
4.845771,key_down,j
4.853101,key_up,d
4.947683,key_up,j
4.972743,key_down,w
5.050803,key_down,k
5.079618,key_up,w
5.186280,key_up,k
5.195970,key_down,w
5.302297,key_down,j
5.332852,key_up,w
5.403292,key_down,c
5.415030,key_up,j
5.470504,key_down,i
5.532565,key_up,c
5.582321,key_up,i
5.605917,key_down,f
5.678231,key_down,m
5.725076,key_up,f
5.790111,key_down,e
5.819397,key_up,m
5.909467,key_up,e
5.919674,key_down,m
5.993609,key_down,e
6.027814,key_up,m
6.114750,key_down,k
6.127591,key_up,e
6.203847,key_down,d
6.205727,key_up,k
6.331965,key_down,k
6.334722,key_up,d
6.422530,key_up,k
6.428134,key_down,g
6.522115,key_down,h
6.556373,key_up,g
6.629690,key_up,h
6.647194,key_down,g
6.713852,key_down,h
6.765318,key_up,g
6.815859,key_up,h
6.825198,key_down,d
6.882023,key_down,u
6.965723,key_up,d
6.971661,key_up,u
7.038607,key_down,i
7.047673,key_down,w
7.144152,key_up,i
7.170413,key_up,w
7.209688,key_down,2
7.220976,key_down,m
7.317308,key_up,m
7.338898,key_up,2
7.366113,key_down,n
7.421516,key_down,e
7.473802,key_up,n
7.478705,key_down,r
7.511984,key_up,e
7.546095,key_down,u
7.551940,key_up,r
7.617328,key_down,f
7.652946,key_up,u
7.697066,key_down,8
7.764708,key_up,f
7.790550,key_down,v
7.802669,key_up,8
7.868737,key_down,8
7.936941,key_up,v
7.958921,key_up,8
8.020136,key_down,8
8.122644,key_up,8
8.221011,key_down,j
8.303924,key_up,j
8.366389,key_down,m
8.462744,key_up,m
8.511606,key_down,w
8.589692,key_down,k
8.601526,key_up,w
8.680127,key_down,w
8.691016,key_up,k
8.791719,key_up,w
8.846337,key_down,w
8.926722,key_up,w
8.987119,key_down,w
9.094967,key_up,w
9.133760,key_down,w
9.228541,key_down,k
9.245528,key_up,w
9.380479,key_up,k
9.479172,key_down,w
11.246903,key_up,w
11.452117,mouse_down,mouse_left
11.559725,mouse_up,mouse_left
11.602857,key_down,ctrl_l
11.648012,key_down,
